YEAR_MM,LON_INRST,APT_TRDE_IDEX,PCLND_IDEX,HOUSE_CNSMP_TRL_IDEX,LAD_CNSMP_TRL_IDEX,CNSMR_PRICES_IDEX,HOUSE_TRDE_COUNT,LAB_TRDE_COUNT,TOTAL_TRDE_COUNT
2018-01-01,3.36,88.784,88.632,129.2,105.4,98.106,15107,1586,16693
2018-02-01,3.46,89.638,89.035,128.5,106.5,98.855,17685,1397,19082
2018-03-01,3.45,90.206,89.282,117.6,104.6,98.751,24122,1873,25995
2018-04-01,3.43,90.909,89.539,108.8,103.8,98.931,12347,1427,13774
2018-05-01,3.45,91.413,89.903,111.1,97.9,98.979,11719,1775,13494
2018-06-01,3.49,91.945,90.304,106.8,101.7,98.779,10401,1201,11602
2018-07-01,3.49,92.544,90.727,113.4,98.3,98.59,11753,1768,13521
2018-08-01,3.47,93.258,91.185,129.7,108.1,99.462,13577,1440,15017
2018-09-01,3.42,94.199,91.776,128.9,102.2,100.221,19228,1285,20513
2018-10-01,3.39,95.035,92.415,117.1,97.5,100.041,18787,1728,20515
2018-11-01,3.44,95.347,92.917,107.2,100.1,99.33,9324,1435,10759
2018-12-01,3.39,95.393,93.289,93.7,95.9,98.988,7000,1782,8782
2019-01-01,3.26,95.335,93.559,91.5,94.1,98.884,6040,2166,8206
2019-02-01,3.23,95.267,93.802,94.5,94.3,99.311,4552,1122,5674
2019-03-01,3.21,95.263,94.097,93.3,95.9,99.121,5633,1422,7055
2019-04-01,3.28,95.233,94.442,91.1,101.3,99.481,6924,1457,8381
2019-05-01,3.22,95.174,94.854,98.6,99.1,99.652,8077,1738,9815
2019-06-01,3.19,95.156,95.186,112.2,101.6,99.491,8990,1284,10274
2019-07-01,2.99,95.107,95.549,121.1,103.9,99.187,12256,1544,13800
2019-08-01,2.85,95.212,95.962,120.1,101.6,99.425,13514,1375,14889
2019-09-01,2.64,95.415,96.36,124.4,105.2,99.794,11779,1298,13077
2019-10-01,2.69,95.658,96.737,133.6,104,100.041,14145,1444,15589
2019-11-01,2.74,95.896,97.084,132.4,104.9,99.481,17313,1357,18670
2019-12-01,2.94,96.543,97.447,128.4,100.4,99.719,22156,1957,24113
2020-01-01,2.79,97.144,97.803,118.5,98.9,100.09,16834,2041,18875
2020-02-01,2.77,97.242,98.153,122.7,96,100.16,16661,1818,18479
2020-03-01,2.66,97.33,98.414,111.1,98.1,99.94,16315,1815,18130
2020-04-01,2.64,97.303,98.634,103.8,88.1,99.5,9452,1744,11196
2020-05-01,2.66,97.202,98.881,114.2,97.7,99.44,10255,1403,11658
2020-06-01,2.56,97.261,99.228,135.2,103.1,99.71,19463,2658,22121
2020-07-01,2.57,98.045,99.605,143.3,103.9,99.63,26662,2220,28882
2020-08-01,2.55,98.446,100,135,103.1,100.19,14459,1908,16367
2020-09-01,2.51,98.688,100.406,130.2,100.8,100.74,10755,1964,12719
2020-10-01,2.59,98.718,100.807,134.6,105.1,100.18,10629,1346,11975
2020-11-01,2.64,98.812,101.218,136.6,102.5,100.09,10082,1893,11975
2020-12-01,2.78,98.992,101.653,133.7,104.9,100.33,16190,2160,18350
2021-01-01,2.89,99.181,102.028,131.7,105.7,101.04,12275,1591,13866
2021-02-01,2.9,99.529,102.436,127.1,102.9,101.58,12707,1427,14134
2021-03-01,2.85,99.646,102.848,117.9,104.8,101.84,11122,1480,12602
2021-04-01,2.8,99.768,103.278,118.2,107,101.98,11873,1783,13656
2021-05-01,2.7,99.834,103.691,126.2,105,102.05,13145,1886,15031
2021-06-01,2.61,100,104.125,130,108.7,102.05,11721,1760,13481
2021-07-01,2.56,100.39,104.582,133,110,102.26,11014,1703,12717
2021-08-01,2.65,101.182,105.03,135.9,105.5,102.75,11051,1481,12532
2021-09-01,2.76,101.847,105.472,132.1,105.8,103.17,9584,1394,10978
2021-10-01,2.97,102.756,105.885,119.9,102.8,103.35,8147,1253,9400
2021-11-01,3.34,103.487,106.314,111.9,106,103.87,7801,1480,9281
2021-12-01,3.61,103.653,106.742,102.1,100.7,104.04,6394,1721,8115
2022-01-01,3.82,103.623,107.116,100.7,100.3,104.69,4831,1497,6328
2022-02-01,3.98,103.378,107.482,101.5,98.5,105.3,4615,1208,5823
2022-03-01,3.96,103.227,107.869,107.2,105.5,106.06,5098,923,6021
2022-04-01,3.91,103.176,108.314,113.8,105.8,106.85,6120,1769,7889
2022-05-01,3.84,103.146,108.833,107.6,104.6,107.56,7664,1367,9031
2022-06-01,3.86,103.01,109.351,100.8,102.2,108.22,6617,995,7612
2022-07-01,4.04,102.618,109.879,92.6,96.6,108.74,4858,1227,6085
2022-08-01,4.13,101.845,110.287,87.5,95.1,108.62,4015,1351,5366
2022-09-01,4.29,100.759,100.021,87.4,98.1,108.93,3388,1208,4596
2022-10-01,4.59,99.582,100,77.9,86.6,109.21,3405,868,4273
2022-11-01,4.82,98.155,99.788,72.9,86.9,109.1,2552,1024,3576
